texto,sentimiento,tokens,texto_procesado,prediccion_svm,prediccion_nb
fabuloso diseño elegante funcional práctico,positivo,"['fabul', 'diseñ', 'eleg', 'funcional', 'practic']",fabul diseñ eleg funcional practic,positivo,positivo
imitación falsificado barata fraudulento absolutamente producto,negativo,"['imit', 'falsific', 'barat', 'fraudulent', 'absolut', 'product']",imit falsific barat fraudulent absolut product,negativo,negativo
pena absolutamente alta maravilloso calidad inversión vale,positivo,"['pen', 'absolut', 'alta', 'maravill', 'calid', 'inversion', 'val']",pen absolut alta maravill calid inversion val,positivo,positivo
promedio ni muy malo ciertamente ni bueno,neutro,"['promedi', 'mal', 'ciert', 'buen']",promedi mal ciert buen,neutro,neutro
descripción más destacable sin cumple,neutro,"['descripcion', 'destac', 'cumpl']",descripcion destac cumpl,neutro,neutro
mediocre caro bastante sobrevalorado lamentable producto,negativo,"['mediocr', 'car', 'bastant', 'sobrevalor', 'lament', 'product']",mediocr car bastant sobrevalor lament product,negativo,negativo
tiene está buenas cosas malas ok,neutro,"['buen', 'cos', 'mal']",buen cos mal,neutro,neutro
duda mercado mejor muy opción sin sobresaliente,positivo,"['dud', 'merc', 'mejor', 'opcion', 'sobresalient']",dud merc mejor opcion sobresalient,positivo,positivo
horrible llegó servicio dañado malo tarde,negativo,"['horribl', 'lleg', 'servici', 'dañ', 'mal', 'tard']",horribl lleg servici dañ mal tard,negativo,negativo
mal desde defectuoso funciona malísimo inicio,negativo,"['mal', 'defectu', 'funcion', 'malisim', 'inici']",mal defectu funcion malisim inici,negativo,negativo
fraudulento imitación falsificado totalmente producto barata,negativo,"['fraudulent', 'imit', 'falsific', 'total', 'product', 'barat']",fraudulent imit falsific total product barat,negativo,negativo
feliz supera descripción extraordinario compra muy,positivo,"['feliz', 'super', 'descripcion', 'extraordinari', 'compr']",feliz super descripcion extraordinari compr,positivo,positivo
no engañosa cumple promete decepcionante publicidad,negativo,"['engañ', 'cumpl', 'promet', 'decepcion', 'public']",engañ cumpl promet decepcion public,negativo,negativo
aquí nunca terrible compraré experiencia más,negativo,"['aqu', 'nunc', 'terribl', 'compr', 'experient']",aqu nunc terribl compr experient,negativo,negativo
decente funciona definitivamente sin problemas particular,neutro,"['decent', 'funcion', 'definit', 'problem', 'particul']",decent funcion definit problem particul,neutro,neutro
promedio ni muy bueno ni malo,neutro,"['promedi', 'buen', 'mal']",promedi buen mal,neutro,neutro
producto mediocre sobrevalorado caro lamentable,negativo,"['product', 'mediocr', 'sobrevalor', 'car', 'lament']",product mediocr sobrevalor car lament,negativo,negativo
bueno confiable resistente muy duradero increíblemente,positivo,"['buen', 'confiabl', 'resistent', 'durader', 'increibl']",buen confiabl resistent durader increibl,positivo,positivo
ciertamente vale maravilloso calidad pena inversión alta,positivo,"['ciert', 'val', 'maravill', 'calid', 'pen', 'inversion', 'alta']",ciert val maravill calid pen inversion alta,positivo,positivo
precio producto muy totalmente excelente recomiendo calidad,positivo,"['preci', 'product', 'total', 'excelent', 'recom', 'calid']",preci product total excelent recom calid,positivo,positivo
nada común ordinario impresionante corriente,neutro,"['comun', 'ordinari', 'impresion', 'corrient']",comun ordinari impresion corrient,neutro,neutro
magnífico calidad excepcional producto premium,positivo,"['magnif', 'calid', 'excepcional', 'product', 'premium']",magnif calid excepcional product premium,positivo,positivo
formidable cumple promesas honesto vendedor,positivo,"['formid', 'cumpl', 'promes', 'honest', 'vendedor']",formid cumpl promes honest vendedor,positivo,positivo
estafa horrible nada total descripción,negativo,"['estaf', 'horribl', 'total', 'descripcion']",estaf horribl total descripcion,negativo,negativo
cubre necesidades mínimas aceptable suficiente,neutro,"['cubr', 'neces', 'minim', 'acept', 'suficient']",cubr neces minim acept suficient,neutro,neutro
nada horrible descripción ciertamente total estafa,negativo,"['horribl', 'descripcion', 'ciert', 'total', 'estaf']",horribl descripcion ciert total estaf,negativo,negativo
lujos simple básico sin funcional,neutro,"['luj', 'simpl', 'basic', 'funcional']",luj simpl basic funcional,neutro,neutro
dañado tarde llegó horrible servicio malo,negativo,"['dañ', 'tard', 'lleg', 'horribl', 'servici', 'mal']",dañ tard lleg horribl servici mal,negativo,negativo
cumple básica esperada absolutamente función normal,neutro,"['cumpl', 'basic', 'esper', 'absolut', 'funcion', 'normal']",cumpl basic esper absolut funcion normal,neutro,neutro
exactamente estrellas cinco muy esperaba perfecto,positivo,"['exact', 'estrell', 'cinc', 'esper', 'perfect']",exact estrell cinc esper perfect,positivo,positivo
excelente construcción impresionante calidad durabilidad,positivo,"['excelent', 'construccion', 'impresion', 'calid', 'durabil']",excelent construccion impresion calid durabil,positivo,positivo
pasable sirve emergencia temporal definitivamente solución,neutro,"['pasabl', 'sirv', 'emergent', 'temporal', 'definit', 'solucion']",pasabl sirv emergent temporal definit solucion,neutro,neutro
nada común ordinario corriente impresionante,neutro,"['comun', 'ordinari', 'corrient', 'impresion']",comun ordinari corrient impresion,neutro,neutro
ciertamente diseño funcional fabuloso elegante práctico,positivo,"['ciert', 'diseñ', 'funcional', 'fabul', 'eleg', 'practic']",ciert diseñ funcional fabul eleg practic,positivo,positivo
aceptable mínimas suficiente muy necesidades cubre,neutro,"['acept', 'minim', 'suficient', 'neces', 'cubr']",acept minim suficient neces cubr,neutro,neutro
perfecto esperaba exactamente estrellas cinco,positivo,"['perfect', 'esper', 'exact', 'estrell', 'cinc']",perfect esper exact estrell cinc,positivo,positivo
desastroso incómodo inútil diseño definitivamente malo,negativo,"['desastr', 'incomod', 'inutil', 'diseñ', 'definit', 'mal']",desastr incomod inutil diseñ definit mal,negativo,negativo
construcción completamente excelente impresionante calidad durabilidad,positivo,"['construccion', 'complet', 'excelent', 'impresion', 'calid', 'durabil']",construccion complet excelent impresion calid durabil,positivo,positivo
mediano gama desempeño media esperado,neutro,"['median', 'gam', 'desempeñ', 'medi', 'esper']",median gam desempeñ medi esper,neutro,neutro
pérdida tiempo dinero recomiendo no,negativo,"['perd', 'tiemp', 'diner', 'recom']",perd tiemp diner recom,negativo,negativo
pasable emergencia totalmente sirve temporal solución,neutro,"['pasabl', 'emergent', 'total', 'sirv', 'temporal', 'solucion']",pasabl emergent total sirv temporal solucion,neutro,neutro
destacable descripción completamente cumple sin más,neutro,"['destac', 'descripcion', 'complet', 'cumpl']",destac descripcion complet cumpl,neutro,neutro
no sirve compra muy insatisfecho propósito,negativo,"['sirv', 'compr', 'insatisfech', 'proposit']",sirv compr insatisfech proposit,negativo,negativo
funciona producto mal pésimo no hecho,negativo,"['funcion', 'product', 'mal', 'pesim', 'hech']",funcion product mal pesim hech,negativo,negativo
malas tiene muy está buenas ok cosas,neutro,"['mal', 'buen', 'cos']",mal buen cos,neutro,neutro
maravilloso calidad vale pena inversión alta,positivo,"['maravill', 'calid', 'val', 'pen', 'inversion', 'alta']",maravill calid val pen inversion alta,positivo,positivo
común impresionante nada ordinario corriente,neutro,"['comun', 'impresion', 'ordinari', 'corrient']",comun impresion ordinari corrient,neutro,neutro
muy justo contento buscaba espectacular,positivo,"['just', 'content', 'busc', 'espectacul']",just content busc espectacul,positivo,positivo
básica esperada normal función cumple,neutro,"['basic', 'esper', 'normal', 'funcion', 'cumpl']",basic esper normal funcion cumpl,neutro,neutro
compra vida arrepentido peor nefasto,negativo,"['compr', 'vid', 'arrepent', 'peor', 'nefast']",compr vid arrepent peor nefast,negativo,negativo
desproporcionado precio injusto calidad inaceptable,negativo,"['desproporcion', 'preci', 'injust', 'calid', 'inacept']",desproporcion preci injust calid inacept,negativo,negativo
satisfecho funciones genial muy perfectamente cumple,positivo,"['satisfech', 'funcion', 'genial', 'perfect', 'cumpl']",satisfech funcion genial perfect cumpl,positivo,positivo
emergencia solución pasable sirve temporal,neutro,"['emergent', 'solucion', 'pasabl', 'sirv', 'temporal']",emergent solucion pasabl sirv temporal,neutro,neutro
tiempo bastante recomiendo dinero pérdida no,negativo,"['tiemp', 'bastant', 'recom', 'diner', 'perd']",tiemp bastant recom diner perd,negativo,negativo
descripción destacable más sin cumple,neutro,"['descripcion', 'destac', 'cumpl']",descripcion destac cumpl,neutro,neutro
esperaba más aceptable algo completo aunque,neutro,"['esper', 'acept', 'complet', 'aunqu']",esper acept complet aunqu,neutro,neutro
decepcionante rompió primer calidad mala uso muy,negativo,"['decepcion', 'romp', 'prim', 'calid', 'mal', 'uso']",decepcion romp prim calid mal uso,negativo,negativo
pagado para razonable correcto precio,neutro,"['pag', 'razon', 'correct', 'preci']",pag razon correct preci,neutro,neutro
ciertamente aceptable mínimas necesidades suficiente cubre,neutro,"['ciert', 'acept', 'minim', 'neces', 'suficient', 'cubr']",ciert acept minim neces suficient cubr,neutro,neutro
malísimo funciona defectuoso inicio mal desde,negativo,"['malisim', 'funcion', 'defectu', 'inici', 'mal']",malisim funcion defectu inici mal,negativo,negativo
impresionante nada común ordinario corriente,neutro,"['impresion', 'comun', 'ordinari', 'corrient']",impresion comun ordinari corrient,neutro,neutro
regular calidad promedio estándar absolutamente mercado,neutro,"['regul', 'calid', 'promedi', 'estand', 'absolut', 'merc']",regul calid promedi estand absolut merc,neutro,neutro
bueno ni malo muy muy ni promedio,neutro,"['buen', 'mal', 'promedi']",buen mal promedi,neutro,neutro
compra muy extraordinario supera descripción feliz,positivo,"['compr', 'extraordinari', 'super', 'descripcion', 'feliz']",compr extraordinari super descripcion feliz,positivo,positivo
compra muy extraordinario supera descripción feliz,positivo,"['compr', 'extraordinari', 'super', 'descripcion', 'feliz']",compr extraordinari super descripcion feliz,positivo,positivo
tiene está buenas cosas malas ok,neutro,"['buen', 'cos', 'mal']",buen cos mal,neutro,neutro
decente muy funciona sin problemas particular,neutro,"['decent', 'funcion', 'problem', 'particul']",decent funcion problem particul,neutro,neutro
buscaba sin duda muy justo espectacular contento,positivo,"['busc', 'dud', 'just', 'espectacul', 'content']",busc dud just espectacul content,positivo,positivo
pésimo funciona hecho producto no definitivamente mal,negativo,"['pesim', 'funcion', 'hech', 'product', 'definit', 'mal']",pesim funcion hech product definit mal,negativo,negativo
tremendamente definitivamente volveré sin duda comprar satisfecho,positivo,"['tremend', 'definit', 'volv', 'dud', 'compr', 'satisfech']",tremend definit volv dud compr satisfech,positivo,positivo
cumple producto especial está bien nada,neutro,"['cumpl', 'product', 'especial', 'bien']",cumpl product especial bien,neutro,neutro
calidad estupendo precio completamente insuperable relación,positivo,"['calid', 'estupend', 'preci', 'complet', 'insuper', 'relacion']",calid estupend preci complet insuper relacion,positivo,positivo
honesto realmente promesas vendedor cumple formidable,positivo,"['honest', 'realment', 'promes', 'vendedor', 'cumpl', 'formid']",honest realment promes vendedor cumpl formid,positivo,positivo
sin funciona particular problemas decente,neutro,"['funcion', 'particul', 'problem', 'decent']",funcion particul problem decent,neutro,neutro
sirve temporal pasable emergencia solución,neutro,"['sirv', 'temporal', 'pasabl', 'emergent', 'solucion']",sirv temporal pasabl emergent solucion,neutro,neutro
caro bastante sobrevalorado lamentable producto mediocre,negativo,"['car', 'bastant', 'sobrevalor', 'lament', 'product', 'mediocr']",car bastant sobrevalor lament product mediocr,negativo,negativo
peligroso inseguro evitar abominable producto,negativo,"['peligr', 'insegur', 'evit', 'abomin', 'product']",peligr insegur evit abomin product,negativo,negativo
muy ni ni malo promedio bueno,neutro,"['mal', 'promedi', 'buen']",mal promedi buen,neutro,neutro
desempeño media esperado totalmente gama mediano,neutro,"['desempeñ', 'medi', 'esper', 'total', 'gam', 'median']",desempeñ medi esper total gam median,neutro,neutro
mal desde defectuoso funciona malísimo inicio,negativo,"['mal', 'defectu', 'funcion', 'malisim', 'inici']",mal defectu funcion malisim inici,negativo,negativo
más cumple destacable descripción sin,neutro,"['cumpl', 'destac', 'descripcion']",cumpl destac descripcion,neutro,neutro
ni promedio muy malo absolutamente ni bueno,neutro,"['promedi', 'mal', 'absolut', 'buen']",promedi mal absolut buen,neutro,neutro
totalmente recomiendo sensacional hecho mejor inversión ampliamente,positivo,"['total', 'recom', 'sensacional', 'hech', 'mejor', 'inversion', 'ampli']",total recom sensacional hech mejor inversion ampli,positivo,positivo
lujos simple funcional básico sin,neutro,"['luj', 'simpl', 'funcional', 'basic']",luj simpl funcional basic,neutro,neutro
perfecto estrellas cinco esperaba exactamente,positivo,"['perfect', 'estrell', 'cinc', 'esper', 'exact']",perfect estrell cinc esper exact,positivo,positivo
básico lujos sin simple funcional,neutro,"['basic', 'luj', 'simpl', 'funcional']",basic luj simpl funcional,neutro,neutro
llegó dañado tarde servicio horrible malo,negativo,"['lleg', 'dañ', 'tard', 'servici', 'horribl', 'mal']",lleg dañ tard servici horribl mal,negativo,negativo
aquí nunca terrible compraré experiencia más,negativo,"['aqu', 'nunc', 'terribl', 'compr', 'experient']",aqu nunc terribl compr experient,negativo,negativo
peor nefasto arrepentido compra vida,negativo,"['peor', 'nefast', 'arrepent', 'compr', 'vid']",peor nefast arrepent compr vid,negativo,negativo
sirve pasable emergencia temporal solución,neutro,"['sirv', 'pasabl', 'emergent', 'temporal', 'solucion']",sirv pasabl emergent temporal solucion,neutro,neutro
razonable pagado precio correcto para,neutro,"['razon', 'pag', 'preci', 'correct']",razon pag preci correct,neutro,neutro
ampliamente recomiendo hecho sensacional inversión mejor,positivo,"['ampli', 'recom', 'hech', 'sensacional', 'inversion', 'mejor']",ampli recom hech sensacional inversion mejor,positivo,positivo
deficiente calidad inferior esperado basura,negativo,"['deficient', 'calid', 'inferior', 'esper', 'basur']",deficient calid inferior esper basur,negativo,negativo
solución diario perfecto uso brillante problema,positivo,"['solucion', 'diari', 'perfect', 'uso', 'brillant', 'problem']",solucion diari perfect uso brillant problem,positivo,positivo
impresionante nada común ordinario corriente,neutro,"['impresion', 'comun', 'ordinari', 'corrient']",impresion comun ordinari corrient,neutro,neutro
producto imitación sin duda barata falsificado fraudulento,negativo,"['product', 'imit', 'dud', 'barat', 'falsific', 'fraudulent']",product imit dud barat falsific fraudulent,negativo,negativo
funciona producto mal pésimo no hecho,negativo,"['funcion', 'product', 'mal', 'pesim', 'hech']",funcion product mal pesim hech,negativo,negativo
razonable correcto para precio pagado,neutro,"['razon', 'correct', 'preci', 'pag']",razon correct preci pag,neutro,neutro
problemas decente particular funciona sin,neutro,"['problem', 'decent', 'particul', 'funcion']",problem decent particul funcion,neutro,neutro
engañosa publicidad no cumple decepcionante bastante promete,negativo,"['engañ', 'public', 'cumpl', 'decepcion', 'bastant', 'promet']",engañ public cumpl decepcion bastant promet,negativo,negativo
definitivamente producto premium magnífico excepcional calidad,positivo,"['definit', 'product', 'premium', 'magnif', 'excepcional', 'calid']",definit product premium magnif excepcional calid,positivo,positivo
formidable cumple honesto vendedor absolutamente promesas,positivo,"['formid', 'cumpl', 'honest', 'vendedor', 'absolut', 'promes']",formid cumpl honest vendedor absolut promes,positivo,positivo
vale alta calidad pena inversión completamente maravilloso,positivo,"['val', 'alta', 'calid', 'pen', 'inversion', 'complet', 'maravill']",val alta calid pen inversion complet maravill,positivo,positivo
calidad inferior esperado basura deficiente,negativo,"['calid', 'inferior', 'esper', 'basur', 'deficient']",calid inferior esper basur deficient,negativo,negativo
bien increíble rápido perfecto servicio bastante empaquetado,positivo,"['bien', 'increibl', 'rap', 'perfect', 'servici', 'bastant', 'empaquet']",bien increibl rap perfect servici bastant empaquet,positivo,positivo
especial nada producto está cumple bien,neutro,"['especial', 'product', 'cumpl', 'bien']",especial product cumpl bien,neutro,neutro
compra mejor año volveré definitivamente fantástico,positivo,"['compr', 'mejor', 'año', 'volv', 'definit', 'fantast']",compr mejor año volv definit fantast,positivo,positivo
cumple genial satisfecho funciones totalmente perfectamente,positivo,"['cumpl', 'genial', 'satisfech', 'funcion', 'total', 'perfect']",cumpl genial satisfech funcion total perfect,positivo,positivo
genial funciones perfectamente satisfecho cumple,positivo,"['genial', 'funcion', 'perfect', 'satisfech', 'cumpl']",genial funcion perfect satisfech cumpl,positivo,positivo
pasable emergencia sirve temporal solución,neutro,"['pasabl', 'emergent', 'sirv', 'temporal', 'solucion']",pasabl emergent sirv temporal solucion,neutro,neutro
producto muy mediocre lamentable caro sobrevalorado,negativo,"['product', 'mediocr', 'lament', 'car', 'sobrevalor']",product mediocr lament car sobrevalor,negativo,negativo
realmente funcional sin básico lujos simple,neutro,"['realment', 'funcional', 'basic', 'luj', 'simpl']",realment funcional basic luj simpl,neutro,neutro
razonable correcto para precio pagado,neutro,"['razon', 'correct', 'preci', 'pag']",razon correct preci pag,neutro,neutro
completamente especial producto bien está nada cumple,neutro,"['complet', 'especial', 'product', 'bien', 'cumpl']",complet especial product bien cumpl,neutro,neutro
muy ni promedio bueno malo ni,neutro,"['promedi', 'buen', 'mal']",promedi buen mal,neutro,neutro
deficiente basura calidad inferior esperado,negativo,"['deficient', 'basur', 'calid', 'inferior', 'esper']",deficient basur calid inferior esper,negativo,negativo
descripción cumple más sin destacable,neutro,"['descripcion', 'cumpl', 'destac']",descripcion cumpl destac,neutro,neutro
funcional simple sin básico lujos,neutro,"['funcional', 'simpl', 'basic', 'luj']",funcional simpl basic luj,neutro,neutro
está bien nada producto ciertamente cumple especial,neutro,"['bien', 'product', 'ciert', 'cumpl', 'especial']",bien product ciert cumpl especial,neutro,neutro
terrible experiencia nunca más compraré aquí,negativo,"['terribl', 'experient', 'nunc', 'compr', 'aqu']",terribl experient nunc compr aqu,negativo,negativo
cumple promete decepcionante no engañosa publicidad,negativo,"['cumpl', 'promet', 'decepcion', 'engañ', 'public']",cumpl promet decepcion engañ public,negativo,negativo
honesto ciertamente promesas vendedor cumple formidable,positivo,"['honest', 'ciert', 'promes', 'vendedor', 'cumpl', 'formid']",honest ciert promes vendedor cumpl formid,positivo,positivo
para correcto pagado razonable precio,neutro,"['correct', 'pag', 'razon', 'preci']",correct pag razon preci,neutro,neutro
compra muy extraordinario supera descripción feliz,positivo,"['compr', 'extraordinari', 'super', 'descripcion', 'feliz']",compr extraordinari super descripcion feliz,positivo,positivo
simple básico funcional lujos sin,neutro,"['simpl', 'basic', 'funcional', 'luj']",simpl basic funcional luj,neutro,neutro
propósito muy sirve compra insatisfecho no,negativo,"['proposit', 'sirv', 'compr', 'insatisfech']",proposit sirv compr insatisfech,negativo,negativo
mejor fantástico año volveré compra definitivamente,positivo,"['mejor', 'fantast', 'año', 'volv', 'compr', 'definit']",mejor fantast año volv compr definit,positivo,positivo
mediano gama esperado desempeño completamente media,neutro,"['median', 'gam', 'esper', 'desempeñ', 'complet', 'medi']",median gam esper desempeñ complet medi,neutro,neutro
expectativas rendimiento patético bajo defraudado,negativo,"['expect', 'rendimient', 'patet', 'baj', 'defraud']",expect rendimient patet baj defraud,negativo,negativo
diseño elegante funcional fabuloso práctico,positivo,"['diseñ', 'eleg', 'funcional', 'fabul', 'practic']",diseñ eleg funcional fabul practic,positivo,positivo
ciertamente nulo cliente atención deplorable servicio,negativo,"['ciert', 'nul', 'client', 'atencion', 'deplor', 'servici']",ciert nul client atencion deplor servici,negativo,negativo
nada está especial producto bien absolutamente cumple,neutro,"['especial', 'product', 'bien', 'absolut', 'cumpl']",especial product bien absolut cumpl,neutro,neutro
vale alta calidad pena inversión maravilloso,positivo,"['val', 'alta', 'calid', 'pen', 'inversion', 'maravill']",val alta calid pen inversion maravill,positivo,positivo
precio calidad relación estupendo insuperable,positivo,"['preci', 'calid', 'relacion', 'estupend', 'insuper']",preci calid relacion estupend insuper,positivo,positivo
uso calidad primer decepcionante mala rompió muy,negativo,"['uso', 'calid', 'prim', 'decepcion', 'mal', 'romp']",uso calid prim decepcion mal romp,negativo,negativo
realmente rompe calidad endeble construcción espantoso fácil,negativo,"['realment', 'romp', 'calid', 'endebl', 'construccion', 'espant', 'facil']",realment romp calid endebl construccion espant facil,negativo,negativo
increíble servicio rápido bien totalmente empaquetado perfecto,positivo,"['increibl', 'servici', 'rap', 'bien', 'total', 'empaquet', 'perfect']",increibl servici rap bien total empaquet perfect,positivo,positivo
estado llegó tiempo perfecto buenísimo recomiendo,positivo,"['lleg', 'tiemp', 'perfect', 'buenisim', 'recom']",lleg tiemp perfect buenisim recom,positivo,positivo
más aunque completo esperaba aceptable algo,neutro,"['aunqu', 'complet', 'esper', 'acept']",aunqu complet esper acept,neutro,neutro
hecho mal producto pésimo no funciona,negativo,"['hech', 'mal', 'product', 'pesim', 'funcion']",hech mal product pesim funcion,negativo,negativo
está producto nada especial cumple bien,neutro,"['product', 'especial', 'cumpl', 'bien']",product especial cumpl bien,neutro,neutro
hecho mejor inversión recomiendo sensacional realmente ampliamente,positivo,"['hech', 'mejor', 'inversion', 'recom', 'sensacional', 'realment', 'ampli']",hech mejor inversion recom sensacional realment ampli,positivo,positivo
satisfecho perfectamente genial cumple funciones,positivo,"['satisfech', 'perfect', 'genial', 'cumpl', 'funcion']",satisfech perfect genial cumpl funcion,positivo,positivo
honesto promesas vendedor cumple formidable,positivo,"['honest', 'promes', 'vendedor', 'cumpl', 'formid']",honest promes vendedor cumpl formid,positivo,positivo
inseguro evitar producto peligroso abominable,negativo,"['insegur', 'evit', 'product', 'peligr', 'abomin']",insegur evit product peligr abomin,negativo,negativo
fantástico año volveré compra mejor definitivamente,positivo,"['fantast', 'año', 'volv', 'compr', 'mejor', 'definit']",fantast año volv compr mejor definit,positivo,positivo
mínimas cubre realmente aceptable necesidades suficiente,neutro,"['minim', 'cubr', 'realment', 'acept', 'neces', 'suficient']",minim cubr realment acept neces suficient,neutro,neutro
esperada normal función básica cumple,neutro,"['esper', 'normal', 'funcion', 'basic', 'cumpl']",esper normal funcion basic cumpl,neutro,neutro
fraudulento imitación falsificado producto definitivamente barata,negativo,"['fraudulent', 'imit', 'falsific', 'product', 'definit', 'barat']",fraudulent imit falsific product definit barat,negativo,negativo
fantástico mejor volveré año definitivamente compra,positivo,"['fantast', 'mejor', 'volv', 'año', 'definit', 'compr']",fantast mejor volv año definit compr,positivo,positivo
muy completamente ni ni malo promedio bueno,neutro,"['complet', 'mal', 'promedi', 'buen']",complet mal promedi buen,neutro,neutro
muy compra sirve insatisfecho no propósito,negativo,"['compr', 'sirv', 'insatisfech', 'proposit']",compr sirv insatisfech proposit,negativo,negativo
buenísimo totalmente estado llegó tiempo perfecto recomiendo,positivo,"['buenisim', 'total', 'lleg', 'tiemp', 'perfect', 'recom']",buenisim total lleg tiemp perfect recom,positivo,positivo
básico extraordinario nada adecuado propósito,neutro,"['basic', 'extraordinari', 'adecu', 'proposit']",basic extraordinari adecu proposit,neutro,neutro
aquí nunca terrible compraré experiencia más,negativo,"['aqu', 'nunc', 'terribl', 'compr', 'experient']",aqu nunc terribl compr experient,negativo,negativo
problema solución diario brillante uso perfecto,positivo,"['problem', 'solucion', 'diari', 'brillant', 'uso', 'perfect']",problem solucion diari brillant uso perfect,positivo,positivo
decepcionante primer uso muy mala rompió calidad,negativo,"['decepcion', 'prim', 'uso', 'mal', 'romp', 'calid']",decepcion prim uso mal romp calid,negativo,negativo
funcional práctico elegante diseño fabuloso,positivo,"['funcional', 'practic', 'eleg', 'diseñ', 'fabul']",funcional practic eleg diseñ fabul,positivo,positivo
descripción feliz extraordinario supera muy compra,positivo,"['descripcion', 'feliz', 'extraordinari', 'super', 'compr']",descripcion feliz extraordinari super compr,positivo,positivo
suficiente cubre mínimas definitivamente aceptable necesidades,neutro,"['suficient', 'cubr', 'minim', 'definit', 'acept', 'neces']",suficient cubr minim definit acept neces,neutro,neutro
descripción más destacable sin cumple,neutro,"['descripcion', 'destac', 'cumpl']",descripcion destac cumpl,neutro,neutro
ok malas buenas está cosas tiene,neutro,"['mal', 'buen', 'cos']",mal buen cos,neutro,neutro
precio razonable para correcto pagado,neutro,"['preci', 'razon', 'correct', 'pag']",preci razon correct pag,neutro,neutro
cinco estrellas esperaba perfecto exactamente,positivo,"['cinc', 'estrell', 'esper', 'perfect', 'exact']",cinc estrell esper perfect exact,positivo,positivo
mal desde malísimo funciona defectuoso inicio,negativo,"['mal', 'malisim', 'funcion', 'defectu', 'inici']",mal malisim funcion defectu inici,negativo,negativo
calidad regular mercado promedio estándar,neutro,"['calid', 'regul', 'merc', 'promedi', 'estand']",calid regul merc promedi estand,neutro,neutro
uso problema perfecto diario brillante solución,positivo,"['uso', 'problem', 'perfect', 'diari', 'brillant', 'solucion']",uso problem perfect diari brillant solucion,positivo,positivo
razonable correcto para precio pagado,neutro,"['razon', 'correct', 'preci', 'pag']",razon correct preci pag,neutro,neutro
gama totalmente media esperado desempeño mediano,neutro,"['gam', 'total', 'medi', 'esper', 'desempeñ', 'median']",gam total medi esper desempeñ median,neutro,neutro
adecuado nada extraordinario básico ciertamente propósito,neutro,"['adecu', 'extraordinari', 'basic', 'ciert', 'proposit']",adecu extraordinari basic ciert proposit,neutro,neutro
completamente pérdida tiempo dinero recomiendo no,negativo,"['complet', 'perd', 'tiemp', 'diner', 'recom']",complet perd tiemp diner recom,negativo,negativo
inseguro evitar abominable peligroso producto,negativo,"['insegur', 'evit', 'abomin', 'peligr', 'product']",insegur evit abomin peligr product,negativo,negativo
decepcionante rompió primer calidad mala uso muy,negativo,"['decepcion', 'romp', 'prim', 'calid', 'mal', 'uso']",decepcion romp prim calid mal uso,negativo,negativo
básica muy cumple esperada función normal,neutro,"['basic', 'cumpl', 'esper', 'funcion', 'normal']",basic cumpl esper funcion normal,neutro,neutro
razonable correcto para bastante precio pagado,neutro,"['razon', 'correct', 'bastant', 'preci', 'pag']",razon correct bastant preci pag,neutro,neutro
inversión pena alta calidad maravilloso vale,positivo,"['inversion', 'pen', 'alta', 'calid', 'maravill', 'val']",inversion pen alta calid maravill val,positivo,positivo
formidable vendedor honesto cumple promesas,positivo,"['formid', 'vendedor', 'honest', 'cumpl', 'promes']",formid vendedor honest cumpl promes,positivo,positivo
adecuado propósito básico nada extraordinario,neutro,"['adecu', 'proposit', 'basic', 'extraordinari']",adecu proposit basic extraordinari,neutro,neutro
completamente estándar mercado calidad promedio regular,neutro,"['complet', 'estand', 'merc', 'calid', 'promedi', 'regul']",complet estand merc calid promedi regul,neutro,neutro
duda mejor sobresaliente mercado sin opción,positivo,"['dud', 'mejor', 'sobresalient', 'merc', 'opcion']",dud mejor sobresalient merc opcion,positivo,positivo
tiempo llegó buenísimo perfecto estado recomiendo,positivo,"['tiemp', 'lleg', 'buenisim', 'perfect', 'recom']",tiemp lleg buenisim perfect recom,positivo,positivo
satisfecho funciones cumple genial perfectamente,positivo,"['satisfech', 'funcion', 'cumpl', 'genial', 'perfect']",satisfech funcion cumpl genial perfect,positivo,positivo
solución sirve pasable emergencia temporal,neutro,"['solucion', 'sirv', 'pasabl', 'emergent', 'temporal']",solucion sirv pasabl emergent temporal,neutro,neutro
bueno ni promedio malo ni muy,neutro,"['buen', 'promedi', 'mal']",buen promedi mal,neutro,neutro
fabuloso diseño elegante funcional realmente práctico,positivo,"['fabul', 'diseñ', 'eleg', 'funcional', 'realment', 'practic']",fabul diseñ eleg funcional realment practic,positivo,positivo
engañosa publicidad no cumple decepcionante promete,negativo,"['engañ', 'public', 'cumpl', 'decepcion', 'promet']",engañ public cumpl decepcion promet,negativo,negativo
adecuado completamente extraordinario básico propósito nada,neutro,"['adecu', 'complet', 'extraordinari', 'basic', 'proposit']",adecu complet extraordinari basic proposit,neutro,neutro
totalmente cubre suficiente necesidades mínimas aceptable,neutro,"['total', 'cubr', 'suficient', 'neces', 'minim', 'acept']",total cubr suficient neces minim acept,neutro,neutro
adecuado propósito nada absolutamente básico extraordinario,neutro,"['adecu', 'proposit', 'absolut', 'basic', 'extraordinari']",adecu proposit absolut basic extraordinari,neutro,neutro
dinero recomiendo tiempo no pérdida,negativo,"['diner', 'recom', 'tiemp', 'perd']",diner recom tiemp perd,negativo,negativo
cosas tiene malas buenas está ok,neutro,"['cos', 'mal', 'buen']",cos mal buen,neutro,neutro
